CompanyName,Sector,Stage,Fund_Amount,HeadQuarter,What_it_does,Funding_Year,Founders,Investor,Founded
TheCollegeFever,FinTech,Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,,,
Happy Cow Dairy,FinTech,Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,,,
MyLoanCare,FinTech,Series A,949000.0,Gurgaon,Leading Online Loans Marketplace in India,2018,,,
PayMe India,FinTech,Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,,,
Eunimart,FinTech,Seed,3000000.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,,,
Hasura,FinTech,Seed,1600000.0,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,,,
Tripshelf,FinTech,Seed,233600.0,Kalkaji,Tripshelf is an online market place for holiday packages.,2018,,,
Hyperdata.IO,FinTech,Angel,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,2018,,,
Freightwalla,FinTech,Seed,3000000.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,,,
Microchip Payments,FinTech,Seed,3000000.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,2018,,,
BizCrum Infotech Pvt. Ltd.,FinTech,Seed,3000000.0,Delhi,Building Transactionary B2B Marketplaces,2018,,,
Emojifi,FinTech,Seed,3000000.0,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,,,
Flock,FinTech,Seed,3000000.0,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,,,
Freshboxx,FinTech,Seed,3000000.0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,,,
Wide Mobility Mechatronics,FinTech,Seed,3000000.0,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,,,
Pitstop,FinTech,Seed,1460000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,,,
Mihuru,FinTech,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,2018,,,
Fyle,FinTech,Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,2018,,,
AppWharf,FinTech,Seed,3000000.0,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,,,
Antariksh Waste Ventures Pvt ltd,FinTech,Seed,7300.0,Chennai,Waste Management for Smart Cities,2018,,,
Cogoport,FinTech,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,,,
PaisaDukan,FinTech,Seed,650000.0,Mumbai,A P2P lending marketplace platform,2018,,,
Sleepy Owl Coffee,FinTech,Seed,511000.0,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,,,
BlueJack,FinTech,Seed,934400.0,Delhi,Delhi-based online used vehicles marketplace.,2018,,,
PregBuddy,FinTech,Seed,3000000.0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,2018,,,
AgNext Technologies,FinTech,Series A,3000000.0,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,,,
Pando,FinTech,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies.,2018,,,
Mintifi,FinTech,Seed,2000000.0,Mumbai,Online lending startup based in Mumbai.,2018,,,
Carcrew,FinTech,Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace,2018,,,
NicheAI,FinTech,Angel,3000000.0,Hyderabad,Early stage Artificial Intelligence (AI) start up.,2018,,,
Chariot Tech,FinTech,Seed,292000.0,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,2018,,,
Ideal Insurance Brokers/ 121Policy.com,FinTech,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain.,2018,,,
Loanzen,FinTech,Seed,3000000.0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,2018,,,
Mojro Technologies,FinTech,Seed,650000.0,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform.,2018,,,
Elemential,FinTech,Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",2018,,,
Loadshare,FinTech,Series A,5000000.0,Bengaluru,LoadShare is India’s fastest growing logistics company,2018,,,
Yumlane,FinTech,Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,,,
Kriger Campus,FinTech,Seed,438000.0,New Delhi,A Education Start Up.,2018,,,
Pipa+Bella,FinTech,Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,,,
Kaleidofin,FinTech,Seed,2800000.0,Chennai,A fintech platform.,2018,,,
Chakr Innovation,FinTech,Seed,3000000.0,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,,,
IndigoLearn,FinTech,Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,,,
UClean,FinTech,Seed,584000.0,India,UClean is a tech enabled laundry service provider.,2018,,,
Coutloot,FinTech,Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,2018,,,
Letstrack,FinTech,Seed,1700000.0,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,,,
Pooltoo,FinTech,Seed,3000000.0,New Delhi,Pooltoo offers a premium ride sharing platform.,2018,,,
Finzy,FinTech,Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India.,2018,,,
Fitternity,FinTech,Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,,,
Keito,FinTech,Seed,3000000.0,Pune,Building an Intelligent Digital Assistant.,2018,,,
Tolet for Students,FinTech,Seed,73000.0,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,,,
Chai Kings,FinTech,Seed,292000.0,Chennai,Chai Kings is a tea retail chain,2018,,,
Dainik Jagran,FinTech,Seed,584000.0,Kanpur,Dainik Jagran is a media and communications group.,2018,,,
Playtoome,FinTech,Seed,292000.0,Bengaluru,Playtoome is a live entertainment destination,2018,,,
ONGO Framework,FinTech,Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,,,
Notesgen,FinTech,Seed,182500.0,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,,,
Arogya MedTech,FinTech,Seed,219000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,,,
Propshop24,FinTech,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,,,
myUpchar,FinTech,Series A,5000000.0,New Delhi,To bring health issues to people in their language.,2018,,,
MissMalini Entertainment,FinTech,Seed,1518400.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,,,
Rooter,FinTech,Seed,657000.0,India,Rooter is a mobile-based platform,2018,,,
